2021-03-04 11:19:36	2/3 + 4/8 = 7/6
2021-03-04 11:22:58	2/3 + 7/8 = 7/12
2021-03-04 11:24:38	4/8 + 3/7 = 3/14
2021-03-05 09:47:31	7/8 + 9/10 = 71/40
2021-03-05 09:47:47	3/5 + -2/5 = 1/5
2021-03-05 17:02:26	3/7 * 8/9 = 8/21
2021-03-05 17:18:23	2/3 + 3/4 = 17/12
2021-03-05 17:18:36	6/7 * 7/8 = 3/4
2021-03-05 17:23:28	3/7 * 4/9 = 4/21
2021-03-05 17:40:25	-4/5 + -3/7 = -43/35
2021-03-05 17:41:16	4/-5 * 3/-6 = 2/5
2021-03-05 17:42:05	-4/5 * -3/6 = 2/5
2021-03-05 19:05:38	0/1 + 2/7 = 2/7
2021-03-05 19:05:46	4/5 * 7/8 = 7/10
